Text,Hindi text,Primary Intent,Secondary Intent,Intiated by,Response,List
Hello a very good morning Santosh. I am Amit am talking from Motilal Oswal,"नमस्कार, सुप्रभात संतोष जी। मैं हूँ अमित बात कर रहा हूँ मोतीलाल ओसवाल से",Greeting and Etiquette,"Time of the day greeting
",Advisor,"Good Morning, Amit","Days,"
Good Morning Mika sir.,गुड मॉर्निंग मीका सर।,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning.,
"Hello good morning Sylvester Sir, I am speaking from Motilal Oswal.","नमस्ते सुप्रभात सिल्वेस्टर सर, मैं मोतीलाल ओसवाल से बोल रहा हूं।",Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning,
Morning Hrithik sir Madhu Srikanth speaking from Motilal Oswal.,सुबह ऋतिक सर मधु श्रीकांत मोतीलाल ओसवाल से बोल रहे हैं।,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning Madhu,
Hello very good morning sir this is Badal speaking from motilal oswal your financial advisor.,"नमस्कार सुप्रभात सर, यह बादल आपके वित्तीय सलाहकार मोतीलाल ओसवाल की ओर से बोल रहे हैं।",Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning to you as well.,
"Ok Mam, Thank you.","ओके मैम, थैंक्यू।",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Yes, OK  Thank you","हाँ, ठीक है धन्यवाद",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Done Sir. OK, thank you OK?","किया सर। ठीक है, धन्यवाद ठीक है?",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Ok ma'am, thank you.","ठीक है महोदया, धन्यवाद।",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"OK, thank you have a nice day sir.","ठीक है, धन्यवाद आपका दिन शुभ हो सर।",Greeting and Etiquette,Closing the call greeting,Advisor,Nice day to you as well,
"Hello Sir, Happy Diwali !","नमस्कार सर, दीपावली की हार्दिक शुभकामनाएं!",Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali Madhu Sir.,हैप्पी दिवाली मधु सर।,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali to you and your family Sir,आपको और आपके परिवार को दीपावली की हार्दिक शुभकामनाएं सर,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
"Okay Sir, Happy Diwali to you as well.","ओके सर, आपको भी दीपावली की शुभकामनाएं।",Greeting and Etiquette,Festival Greeting,Advisor,Thank you! Thank you!,
Happy Diwali,हैप्पी दिवाली ,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
And I'm selling my call of 3050.,और मैं अपना 3050 का कॉल बेच रहा हूं।,Trade generation,Sell,Customer,Okay sir,
"I'm selling two change-tax dollars, well, 2323830's the rate is okay.","मैं दो परिवर्तन-कर डॉलर बेच रहा हूँ, ठीक है, 2323830 की दर ठीक है।",Trade generation,Sell,Advisor,"Yes, its fine.",
And November call is selling at 29.90.,वहीं नवंबर कॉल 29.90 पर बिक रही है।,Trade generation,Sell,Advisor,Okay fine.,
I'm selling 575 shares at 3926.,मैं 575 शेयर 3926 पर बेच रहा हूं।,Trade generation,Sell,Customer,Okay Sir,
"we can sell normal pay tomorrow, sir.","हम कल सामान्य वेतन बेच सकते हैं, महोदय।",Trade generation,Sell,Advisor,"Okay, thank you for the advise.",
You can sell the share whenever you think the share's price is falling.,जब भी आपको लगे कि शेयर की कीमत गिर रही है तो आप शेयर बेच सकते हैं।,Trade generation,Sell,Advisor,Okay.,
"Sir, I would recommend that you buy ","सर, मैं अनुशंसा करता हूं कि आप खरीद लें",Trade generation,Buy,Advisor,Okay,
I want to Buy ,मैं खरीदना चाहते हैं,Trade generation,Buy,Customer,Okay Sir,
Buy Tata Steel 27 shares.,टाटा स्टील के 27 शेयर खरीदें।,Trade generation,Buy,Customer,Okay Sir,
Sir I would suggest that you buy BEL shares now as they are expected to rise.,"महोदय, मेरा सुझाव है कि आप बीईएल के शेयर अभी खरीदें क्योंकि उनके बढ़ने की उम्मीद है।",Trade generation,Buy,Advisor,Okay buy it.,
I suggest we remove it,मेरा सुझाव है कि हम इसे हटा दें,Trade generation,Sell,Advisor,,
"Bought and removed. Good winter will take a new one. Yes, how? One is payment.",खरीदा और हटा दिया। अच्छी सर्दी एक नया लेगी। हा कैसे? एक है भुगतान।,Trade generation,Sell,,,
They were removed yes.,हां हटा दिए गए।,Trade generation,Sell,,,
"Sir, we removed the bean day.","सर, हमने बीन डे हटा दिया।",Trade generation,Sell,,,
Remove 231250.,231250 निकालें।,Trade generation,Sell,,,
"I'll do it, but I'll remove it from Dad in 10 days and 15 days.","मैं कर दूँगा, लेकिन मैं इसे 10 दिन और 15 दिनों में पिताजी से हटा दूँगा।",Trade generation,Sell,,,
"The profit was coming, we removed the family.","मुनाफा आ रहा था, हमने परिवार को हटा दिया।",Trade generation,Sell,,,
"If it becomes 1600, I will remove it.","अगर यह 1600 हो जाता है, तो मैं इसे हटा दूंगा।",Trade generation,Sell,,,
"Remove the industry, I'll do some harm.","उद्योग हटाओ, मैं कुछ नुकसान करूंगा।",Trade generation,Sell,,,
"If you find your stomach in your stomach, remove it.",अगर आपको पेट में पेट मिले तो उसे हटा दें।,Trade generation,Sell,,,
"I'm clicking, ma'am.",मै क्लिक कर रहा हूँ मैडम।,Miscellaneous,,,,
Motilal Oswal repeatedly.,मोतीलाल ओसवाल बार-बार।,Miscellaneous,,,,
"Lion good, ok what time?","अच्छा शेयर करें, ठीक है कितने बजे?",Miscellaneous,,,,
It is not.,यह नहीं।,Miscellaneous,,,,
You can download it if it's free now.,आप इसे डाउनलोड कर सकते हैं यदि यह अभी मुफ़्त है।,Miscellaneous,,,,
What will happen in this? You have to put money in it in the app and we will buy shares from it.,इसमें क्या होगा? आपको इसमें पैसे ऐप में डालने होंगे और हम इससे शेयर खरीदेंगे।,Miscellaneous,,,,
"It may not happen before that, sir.",इससे पहले ऐसा नहीं हो सकता सर।,Miscellaneous,,,,
When will you be able to do it?,आप इसे कब कर पाएंगे?,Miscellaneous,,,,
It will happen.,यह होगा।,Miscellaneous,,,,
"I'll talk to the boy now and tell you in half an hour, if you take it this evening, today.","मैं अभी लड़के से बात करूँगा और आधे घंटे में बता दूँगा, अगर तुम आज शाम को ले लो तो।",Miscellaneous,,,,
"And if so, say to him today so that he can go to the place today so that I can do it tomorrow.","और यदि ऐसा है, तो आज उस से कहो कि वह आज उस स्थान पर जा सके, कि मैं कल कर सकूँ।",Miscellaneous,,,,
The one above.,ऊपर वाला।,Miscellaneous,,,,
It is almost the only means of youth.,यह लगभग युवाओं का एकमात्र साधन है।,Miscellaneous,,,,
Does it come out in sir's account?,सर के खाते में आता है?,Miscellaneous,,,,
"Tomorrow, it is an amount of 10,005.","कल, यह 10,005 की राशि है।",Miscellaneous,,,,
"Now the ₹2939 sir?1 is 85,57","अब ₹2939 सर?1 85,57 है",Miscellaneous,,,,
Tata Motors we can do bhai,टाटा मोटर्स हम कर सकते हैं भाई,Miscellaneous,,,,
"The market also goes down sometimes it goes up, sir.",बाजार भी नीचे जाता है कभी-कभी ऊपर जाता है सर।,Miscellaneous,,,,
Tata is also in the cash that is opening up chemicals.,टाटा उस नकदी में भी है जो रसायन खोल रही है।,Miscellaneous,,,,
Both places in the future.,भविष्य में दोनों जगह।,Miscellaneous,,,,
That will be something.,वह कुछ होगा।,Miscellaneous,,,,
"For 1 minute, it will be a mamka, it will show something.","1 मिनट के लिए ममका होगा, कुछ दिखाएगा।",Miscellaneous,,,,
"This is not to show it. Delivery doesn't show intraday, well you'll see stocks like it.","यह दिखाने के लिए नहीं है। डिलीवरी इंट्राडे नहीं दिखाती है, आप इस तरह के स्टॉक देखेंगे।",Miscellaneous,,,,
